From;To;Type;Through;x;y;x;y;
416;7813;river_large;10498;-1;-1;-1;-1;Cincinnati-Covington
6511;1585;river_large;10267;-1;-1;-1;-1;Tulsa-Bixby
6678;6539;river_large;10354;-1;-1;-1;-1;Albany-Troy
323;1013;river_large;9662;-1;-1;-1;-1;Anna-South Fulton
7971;4921;river_large;10495;-1;-1;-1;-1;New Paltz-Poughkeepsie
8612;2005;river_large;10546;-1;-1;-1;-1;New Martinsville-Wheeling
5489;8294;river_large;10360;-1;-1;-1;-1;North Little Rock-Little Rock
4381;2440;sea;10036;-1;-1;-1;-1;Manhattan-Queens
4381;478;sea;10036;-1;-1;-1;-1;Manhattan-Newark
4381;2441;sea;10036;-1;-1;-1;-1;Manhattan-Brooklyn
3241;3668;river_large;10262;-1;-1;-1;-1;Lancaster-York
2441;2442;sea;10036;-1;-1;-1;-1;Brooklyn-Staten Island
6224;6225;sea;10048;-1;-1;-1;-1;Providence-Newport
5404;335;river_large;10109;-1;-1;-1;-1;West Memphis-Memphis
4077;4490;river_large;10473;-1;-1;-1;-1;Philadelphia-Cherry Hill
774;2792;river_large;10590;-1;-1;-1;-1;Texarkana-Magnolia
7231;5481;river_large;9749;-1;-1;-1;-1;Baton Rouge-Gardere
5481;9499;river_large;10500;-1;-1;-1;-1;Gardere-Breaux Bridge
7470;7824;river_large;10506;-1;-1;-1;-1;Columbus-West Point
6324;594;river_large;9655;-1;-1;-1;-1;Tallulah-Vicksburg
5711;3292;river_large;10552;-1;-1;-1;-1;Ball-Boyce
5956;5710;river_large;10270;-1;-1;-1;-1;Marksville-Monterey
820;5988;river_large;10506;-1;-1;-1;-1;Eutaw-Livingston
5710;2696;river_large;9640;-1;-1;-1;-1;Monterey-Woodville
5710;5482;river_large;10270;-1;-1;-1;-1;Monterey-Port Allen
5954;5482;river_large;10500;-1;-1;-1;-1;Ville Platte-Port Allen
4497;8365;river_large;10549;-1;-1;-1;-1;Grove Hill-Jackson
4497;585;river_large;10593;-1;-1;-1;-1;Grove Hill-Monroeville
7519;887;river_large;10323;-1;-1;-1;-1;Slidell-Carriere
9210;3743;river_large;10529;-1;-1;-1;-1;McAllen-Reynosa
8216;8484;river_large;10031;-1;-1;-1;-1;New Orleans-Marrero
9501;5505;river_large;10254;-1;-1;-1;-1;Franklin-Morgan City
4953;4954;river_large;10294;-1;-1;-1;-1;Mobile-Bay Minette
8317;7796;river_large;10460;-1;-1;-1;-1;Manning-Ridgeville
1927;2253;river_large;10328;-1;-1;-1;-1;Sorel-Tracy-Longueuil
7655;4375;river_large;10124;-1;-1;-1;-1;Sainte-Thérèse-Laval
8757;7548;river_large;10528;-1;-1;-1;-1;Ottawa-Streator
7654;1967;river_large;10433;-1;-1;-1;-1;Saint-Eustache-Vaudreuil-Dorion
4375;4376;river_large;10124;-1;-1;-1;-1;Laval-Montréal
2232;2234;river_large;10315;-1;-1;-1;-1;Aurora-Orland Park
4376;2253;river_large;10124;-1;-1;-1;-1;Montréal-Longueuil
4376;2255;river_large;10124;-1;-1;-1;-1;Montréal-Châteauguay
1967;1966;river_large;10124;-1;-1;-1;-1;Vaudreuil-Dorion-Salaberry-de-Valleyfield
3873;6622;river_large;10568;-1;-1;-1;-1;Carrollton-Marshall
1966;3599;river_large;10124;-1;-1;-1;-1;Salaberry-de-Valleyfield-Beauharnois
8378;3600;river_large;9939;-1;-1;-1;-1;Cornwall-Akwesasne
8644;5601;river_large;10568;-1;-1;-1;-1;Como-Jefferson City
1705;3183;river_large;10545;-1;-1;-1;-1;Christiania-Aberdeen
1705;5855;river_large;10563;-1;-1;-1;-1;Christiania-Chestertown
1613;2692;sea;9681;-1;-1;-1;-1;Longview-Goble
5880;8332;river_large;10440;-1;-1;-1;-1;Longview-Goble
5127;3762;river_large;10542;-1;-1;-1;-1;Carmi-Evansville
4001;1013;river_large;9662;-1;-1;-1;-1;Charleston-South Fulton
9043;5667;river_large;10479;-1;-1;-1;-1;Mount Carmel-Hohenwald
642;5385;river_large;10553;-1;-1;-1;-1;Nashville-Hendersonville
571;7375;sea;9989;-1;-1;-1;-1;Detroit-Windsor
1258;9023;sea;9989;-1;-1;-1;-1;St. Clair-Sarnia
273;2128;sea;9732;-1;-1;-1;-1;San Rafael-San Francisco
8300;7623;sea;9732;-1;-1;-1;-1;Vallejo-Concord
2323;1772;river_large;10273;-1;-1;-1;-1;Modesto-Patterson
11947;5029;sea;9825;-1;-1;-1;-1;Galveston-League City
1101;998;river_large;10429;-1;-1;-1;-1;Moriah-Middlebury
7874;8593;sea;9862;-1;-1;-1;-1;Niagra Falls-Niagra Falls
5830;8487;river_large;9686;-1;-1;-1;-1;Dumas-Cleveland
5830;1829;river_large;10471;-1;-1;-1;-1;Dumas-Dewitt
1829;676;river_large;10491;-1;-1;-1;-1;Dewitt-Helena
8219;6035;river_large;10409;-1;-1;-1;-1;Rock Island-Moline
7828;2475;river_large;10368;-1;-1;-1;-1;Fort Smith-Van Buren
381;6999;river_large;10532;-1;-1;-1;-1;Panama City-Quincy
5555;2615;river_large;10299;-1;-1;-1;-1;Nelson-Lake Havasu City
;-1;-1;-1;-1;
